,word,count,tag
0,gym,63314,JJ
1,class,54848,NN
2,time,29890,NN
3,great,28498,JJ
4,place,24294,JJ
5,staff,20612,NN
6,month,20505,NN
7,fitness,19763,NN
8,people,19335,NNS
9,work,19136,VBP
10,i've,18696,JJ
11,membership,18636,NN
12,room,18240,NN
13,good,17636,JJ
14,equipment,17134,NN
15,day,17004,NN
16,year,16736,NN
17,machine,16470,NN
18,member,16158,NN
19,i'm,15085,JJ
20,location,14341,NN
21,workout,14032,IN
22,clean,13208,JJ
23,trainer,12732,NN
24,new,12438,JJ
25,area,11695,NN
26,week,11217,NN
27,instructor,11125,NN
28,lot,11063,NN
29,nice,11016,JJ
30,thing,10928,NN
31,free,10343,JJ
32,hour,10175,NN
33,weight,10163,NN
34,locker,10061,NN
35,way,10009,NN
36,get,9289,VBP
37,facility,8916,NN
38,best,8664,JJS
39,studio,8581,NN
40,service,8126,NN
41,many,7985,JJ
42,cardio,7854,NN
43,much,7752,JJ
44,club,7503,NN
45,personal,7432,JJ
46,experience,7373,NN
47,training,7363,NN
48,friendly,7349,JJ
49,pool,7288,NN
50,use,7192,NN
51,first,7057,JJ
52,feel,6882,NN
53,body,6780,NN
54,love,6766,VBP
55,can't,6728,NN
56,customer,6561,NN
57,everyone,6503,NN
58,different,6416,JJ
59,little,6304,JJ
60,price,6256,NN
61,front,6247,NN
62,yoga,6244,NN
63,sure,6244,JJ
64,fee,6185,NN
65,minute,6024,NN
66,review,5978,NN
67,fun,5951,NN
68,desk,5781,NN
69,cancel,5622,NN
70,manager,5611,NN
71,u,5570,JJ
72,shower,5477,JJR
73,sign,5475,NN
74,space,5439,NN
75,money,5431,NN
76,star,5258,NN
77,exercise,5221,NN
78,something,5123,NN
79,super,5107,JJ
80,awesome,5029,JJ
81,session,4968,NN
82,person,4964,NN
83,everything,4928,NN
84,help,4901,NN
85,small,4869,JJ
86,group,4861,NN
87,towel,4821,NN
88,pay,4808,VBP
89,need,4798,VBP
90,level,4766,NN
91,helpful,4753,JJ
92,last,4730,JJ
93,coach,4720,NN
94,bad,4604,JJ
95,someone,4580,NN
96,try,4568,NN
97,old,4566,JJ
98,floor,4555,NN
99,open,4551,JJ
100,contract,4521,NN
101,business,4482,NN
102,kid,4469,NN
103,guy,4409,NN
104,full,4268,JJ
105,part,4229,NN
106,able,4203,JJ
107,next,4201,JJ
108,that's,4171,NN
109,big,4135,JJ
110,there's,4118,NN
111,owner,4115,NN
112,right,4110,JJ
113,crossfit,4104,NN
114,care,4077,NN
115,life,4070,NN
116,call,4014,NN
117,issue,4003,NN
118,anyone,3996,NN
119,problem,3908,NN
120,friend,3866,NN
121,music,3852,NN
122,hard,3844,JJ
123,water,3803,NN
124,high,3802,JJ
125,overall,3802,JJ
126,home,3691,NN
127,anything,3638,NN
128,give,3634,JJ
129,reason,3627,NN
130,kind,3617,NN
131,morning,3615,NN
132,card,3557,NN
133,nothing,3549,NN
134,phone,3549,NN
135,look,3517,NN
136,community,3479,NN
137,change,3460,NN
138,la,3447,FW
139,charge,3425,NN
140,fit,3420,NN
141,treadmill,3402,NN
142,deal,3370,NN
143,shape,3354,NN
144,worth,3325,NN
145,goal,3298,NN
146,end,3287,NN
147,top,3224,JJ
148,several,3213,JJ
149,option,3170,NN
150,i'd,3157,NNS
151,family,3147,NN
152,strength,3132,NN
153,happy,3105,JJ
154,woman,3096,NN
155,form,3078,NN
156,management,3038,NN
157,bit,3024,NN
158,better,3023,RBR
159,huge,3010,JJ
160,plenty,2993,NN
161,offer,2978,NN
162,hot,2976,JJ
163,due,2959,JJ
164,least,2944,JJS
165,job,2913,NN
166,couple,2888,JJ
167,employee,2877,NN
168,point,2868,NN
169,rate,2867,NN
170,spin,2851,NN
171,schedule,2850,NN
172,variety,2830,NN
173,join,2828,NN
174,program,2816,NN
175,easy,2784,JJ
176,busy,2756,JJ
177,planet,2720,NN
178,account,2708,NN
179,sauna,2705,VBD
180,push,2696,NN
181,name,2654,NN
182,wish,2650,JJ
183,check,2625,NN
184,boston,2621,NN
185,bathroom,2605,NN
186,night,2596,NN
187,available,2594,JJ
188,hand,2580,NN
189,enough,2566,JJ
190,favorite,2553,NN
191,email,2538,NN
192,whole,2536,JJ
193,number,2528,NN
194,today,2524,NN
195,court,2457,NN
196,bar,2451,NN
197,result,2438,NN
198,fact,2422,NN
199,extra,2422,JJ
200,long,2420,RB
201,they're,2414,VBP
202,wall,2381,NN
203,see,2379,VBP
204,door,2376,JJ
205,le,2375,NNS
206,want,2343,VBP
207,others,2316,NNS
208,i'll,2316,VBP
209,wait,2300,VB
210,recommend,2296,NN
211,type,2289,NN
212,muscle,2265,NN
213,plan,2258,NN
214,start,2257,VBP
215,tv,2253,NN
216,cost,2230,NN
217,pas,2225,JJ
218,second,2220,JJ
219,client,2220,NN
220,bsc,2212,NN
221,positive,2191,JJ
222,sale,2183,NN
223,half,2177,NN
224,health,2163,NN
225,large,2161,JJ
226,sweat,2150,NN
227,bike,2144,NN
228,question,2140,NN
229,cancellation,2134,NN
230,student,2134,NN
231,comfortable,2129,JJ
232,child,2126,NN
233,environment,2125,NN
234,real,2124,JJ
235,regular,2117,JJ
236,excellent,2108,NN
237,energy,2097,NN
238,massage,2096,NN
239,monthly,2093,RB
240,knowledgeable,2088,JJ
241,come,2082,VBP
242,expensive,2080,JJ
243,amazing,2078,JJ
244,sport,2077,NN
245,town,2065,NN
246,know,2054,VBP
247,company,2053,NN
248,convenient,2034,NN
249,fantastic,2034,JJ
250,team,2014,NN
251,line,2001,NN
252,move,1998,VBP
253,professional,1997,JJ
254,ton,1967,NN
255,credit,1960,NN
256,austin,1956,NN
257,let,1951,VBD
258,girl,1943,JJ
259,spot,1941,NN
260,complaint,1930,NN
261,dirty,1915,NN
262,mean,1914,VBP
263,early,1912,JJ
264,parking,1907,NN
265,show,1894,NN
266,ask,1894,VBZ
267,stuff,1891,JJ
268,amount,1887,NN
269,center,1876,NN
270,fine,1870,JJ
271,walk,1867,NN
272,cool,1865,NN
273,size,1864,NN
274,visit,1863,NNS
275,make,1862,VBP
276,weekend,1860,NN
277,course,1856,NN
278,lady,1854,NN
279,box,1843,NN
280,quality,1811,NN
281,side,1809,NN
282,guest,1784,VBP
283,decent,1780,JJ
284,entire,1770,JJ
285,corporate,1753,JJ
286,city,1751,NN
287,wonderful,1743,JJ
288,attention,1743,NN
289,routine,1740,JJ
290,injury,1739,NN
291,rock,1739,NN
292,bench,1735,NN
293,policy,1729,NN
294,order,1724,NN
295,school,1677,NN
296,access,1655,NN
297,close,1651,JJ
298,challenge,1644,NN
299,pilate,1637,NN
300,thanks,1631,NNS
301,basketball,1630,VBP
302,steam,1625,NN
303,ok,1607,NN
304,perfect,1605,VBP
305,rack,1603,NN
306,practice,1601,NN
307,low,1589,JJ
308,camp,1588,NN
309,tell,1586,VBP
310,basic,1573,JJ
311,hotel,1548,NN
312,short,1544,JJ
313,amenity,1540,NN
314,zumba,1538,NNP
315,guess,1536,NN
316,multiple,1532,JJ
317,street,1516,NN
318,live,1516,JJ
319,food,1512,NN
320,stay,1501,NN
321,rude,1499,VBP
322,talk,1498,NN
323,general,1496,JJ
324,summer,1488,NN
325,keep,1485,VB
326,lack,1462,NN
327,age,1459,NN
328,wrong,1454,JJ
329,etc,1447,RB
330,broken,1433,JJ
331,system,1433,NN
332,update,1432,JJ
333,head,1430,NN
334,mind,1428,NN
335,terrible,1427,JJ
336,matter,1408,NN
337,route,1407,NN
338,squat,1405,NN
339,barre,1405,NN
340,worst,1405,JJS
341,mat,1401,NN
342,teacher,1395,NN
343,gold's,1390,NN
344,trial,1388,NN
345,special,1387,JJ
346,bag,1382,NN
347,cannot,1378,NN
348,fan,1367,NN
349,world,1367,NN
350,serious,1362,JJ
351,local,1361,JJ
352,warm,1361,JJ
353,heart,1360,NN
354,paper,1359,NN
355,office,1358,NN
356,single,1355,JJ
357,please,1350,NN
358,ready,1347,JJ
359,thank,1344,JJ
360,station,1342,NN
361,think,1338,VBP
362,drop,1337,NN
363,cheap,1336,NN
364,style,1335,NN
365,state,1322,NN
366,step,1319,NN
367,supportive,1310,JJ
368,face,1304,NN
369,park,1304,NN
370,yes,1303,UH
371,portland,1302,NN
372,enjoy,1290,NN
373,glad,1290,JJ
374,beautiful,1290,JJ
375,information,1287,NN
376,technique,1284,NN
377,stronger,1278,JJR
378,notice,1268,NN
379,house,1265,NN
380,poor,1265,JJ
381,car,1261,NN
382,sense,1258,NN
383,online,1256,NN
384,healthy,1256,JJ
385,party,1255,NN
386,take,1250,VB
387,main,1248,JJ
388,refund,1247,NN
389,late,1237,RB
390,bring,1237,JJ
391,situation,1235,NN
392,spa,1234,NN
393,movement,1233,NN
394,swim,1232,JJ
395,foot,1224,NN
396,women's,1224,NN
397,difficult,1218,JJ
398,idea,1217,NN
399,negative,1213,JJ
400,horrible,1211,JJ
401,term,1205,NN
402,beginner,1204,NN
403,possible,1200,JJ
404,stop,1200,JJ
405,peak,1198,NN
406,note,1193,NN
407,folk,1192,NN
