,0,1
0,gym,67922
1,class,54848
2,get,31954
3,time,29890
4,like,28658
5,great,28498
6,one,27766
7,workout,24802
8,place,24786
9,work,21127
10,really,20765
11,i've,20748
12,staff,20612
13,month,20505
14,go,20499
15,fitness,20159
16,would,20074
17,people,19335
18,membership,18636
19,room,18240
20,good,17799
21,also,17656
22,equipment,17134
23,i'm,17021
24,day,17004
25,year,16736
26,machine,16470
27,member,16158
28,never,15354
29,love,14803
30,even,14753
31,location,14414
32,always,14382
33,clean,13886
34,back,13678
35,weight,13556
36,make,13371
37,trainer,13340
38,going,12669
39,new,12438
40,feel,12259
41,nice,12081
42,first,11990
43,want,11817
44,well,11796
45,lot,11770
46,need,11714
47,area,11695
48,friendly,11687
49,instructor,11272
50,week,11217
51,know,10962
52,thing,10928
53,much,10887
54,training,10402
55,free,10400
56,could,10382
57,locker,10359
58,hour,10175
59,best,10159
60,way,10009
61,every,9671
62,use,9492
63,come,8943
64,facility,8916
65,working,8884
66,2,8759
67,say,8596
68,studio,8581
69,take,8550
70,around,8510
71,since,8431
72,see,8194
73,5,8152
74,service,8146
75,give,8087
76,better,8068
77,many,7985
78,3,7968
79,cardio,7963
80,still,7929
81,club,7800
82,two,7695
83,told,7645
84,experience,7566
85,pool,7495
86,think,7455
87,personal,7432
88,ever,7409
89,can't,7371
90,got,7197
91,try,7194
92,yoga,7002
93,pretty,6970
94,recommend,6969
95,said,6947
96,little,6862
97,body,6806
98,front,6798
99,looking,6692
100,find,6670
101,pay,6623
102,review,6602
103,went,6569
104,customer,6561
105,fun,6534
106,cancel,6504
107,everyone,6503
108,keep,6444
109,different,6416
110,sure,6406
111,right,6336
112,fee,6284
113,price,6256
114,super,6214
115,definitely,6153
116,help,6098
117,another,6091
118,minute,6084
119,amazing,6065
120,look,6010
121,shower,5938
122,sign,5909
123,desk,5900
124,u,5880
125,awesome,5811
126,1,5676
127,getting,5674
128,kid,5626
129,manager,5611
130,parking,5512
131,exercise,5476
132,space,5439
133,money,5431
134,enough,5413
135,10,5344
136,star,5284
137,4,5179
138,made,5174
139,offer,5160
140,something,5123
141,coach,5118
142,though,5085
143,care,5028
144,there's,5006
145,towel,4996
146,session,4968
147,person,4964
148,that's,4959
149,everything,4928
150,level,4890
151,small,4869
152,helpful,4865
153,group,4861
154,call,4822
155,used,4760
156,30,4755
157,last,4730
158,hard,4705
159,friend,4705
160,actually,4701
161,open,4694
162,next,4645
163,bad,4604
164,guy,4596
165,someone,4580
166,old,4566
167,floor,4555
168,far,4543
169,contract,4521
170,business,4482
171,long,4436
172,without,4405
173,started,4332
174,issue,4328
175,crossfit,4284
176,full,4268
177,tried,4265
178,part,4229
179,wait,4221
180,able,4203
181,found,4193
182,signed,4189
183,treadmill,4154
184,big,4135
185,owner,4115
186,asked,4086
187,put,4082
188,trying,4077
189,life,4070
190,however,4044
191,done,4032
192,check,4032
193,away,4020
194,anyone,3996
195,la,3961
196,highly,3957
197,6,3952
198,overall,3950
199,worth,3945
200,called,3941
201,24,3931
202,change,3928
203,home,3908
204,problem,3908
205,music,3852
206,high,3837
207,took,3820
208,crowded,3816
209,bit,3815
210,end,3812
211,water,3803
212,etc,3784
213,fit,3766
214,card,3704
215,wanted,3699
216,charge,3682
217,felt,3659
218,tell,3641
219,anything,3638
220,joined,3635
221,reason,3627
222,coming,3626
223,let,3626
224,kind,3617
225,morning,3615
226,i'd,3587
227,deal,3582
228,run,3575
229,nothing,3549
230,phone,3549
231,ago,3533
232,shape,3524
233,almost,3501
234,start,3485
235,community,3479
236,set,3441
237,left,3394
238,seems,3367
239,walk,3364
240,came,3336
241,join,3313
242,especially,3310
243,goal,3298
244,top,3276
245,leave,3275
246,thought,3268
247,form,3259
248,least,3230
249,several,3213
250,plenty,3208
251,20,3184
252,option,3170
253,le,3151
254,family,3147
255,happy,3146
256,strength,3132
257,close,3111
258,woman,3096
259,bike,3075
260,management,3038
261,due,3017
262,seem,3013
263,usually,3012
264,huge,3010
265,spin,3008
266,point,2995
267,hot,2989
268,push,2973
269,sauna,2947
270,may,2931
271,account,2931
272,couple,2925
273,schedule,2917
274,pas,2913
275,they're,2913
276,job,2913
277,extremely,2903
278,seen,2901
279,easy,2893
280,else,2891
281,employee,2877
282,name,2877
283,needed,2868
284,rate,2867
285,boston,2860
286,ask,2856
287,variety,2849
288,three,2826
289,program,2816
290,email,2815
291,plus,2810
292,planet,2768
293,busy,2766
294,probably,2765
295,wish,2761
296,stay,2752
297,move,2732
298,broken,2724
299,yet,2696
300,favorite,2690
301,bsc,2682
302,bathroom,2670
303,paying,2648
304,already,2642
305,worked,2641
306,decided,2639
307,later,2618
308,show,2617
309,challenging,2607
310,night,2596
311,charged,2595
312,available,2594
313,result,2584
314,hand,2580
315,i'll,2578
316,using,2578
317,taken,2574
318,whole,2571
319,often,2555
320,7,2553
321,past,2552
322,number,2528
323,today,2524
324,enjoy,2519
325,climbing,2517
326,absolutely,2506
327,maybe,2500
328,extra,2498
329,wall,2488
330,bar,2484
331,welcoming,2467
332,court,2457
333,feeling,2447
334,mean,2430
335,fact,2422
336,door,2419
337,cost,2408
338,finally,2399
339,austin,2389
340,taking,2385
341,monthly,2367
342,type,2360
343,half,2344
344,early,2342
345,plan,2329
346,muscle,2320
347,recently,2319
348,others,2316
349,making,2316
350,bring,2311
351,gave,2309
352,rude,2304
353,tv,2291
354,kept,2286
355,teacher,2280
356,sweat,2276
357,sometimes,2262
358,either,2262
359,child,2245
360,second,2236
361,15,2226
362,client,2220
363,instead,2197
364,positive,2191
365,sale,2183
366,question,2167
367,health,2163
368,running,2161
369,large,2161
370,forward,2160
371,student,2152
372,cancellation,2145
373,regular,2144
374,comfortable,2139
375,ton,2139
376,massage,2138
377,might,2132
378,excellent,2132
379,yes,2126
380,environment,2125
381,real,2124
382,quite,2124
383,atmosphere,2123
384,visit,2122
385,sport,2122
386,moved,2120
387,expensive,2118
388,energy,2097
389,convenient,2094
390,dirty,2093
391,knowledgeable,2093
392,town,2065
393,girl,2064
394,per,2059
395,company,2053
396,team,2046
397,fantastic,2040
398,cool,2034
399,8,2030
400,spot,2023
401,fine,2018
402,professional,2003
403,line,2001
404,complaint,2001
405,live,1974
406,stuff,1973
407,credit,1960
408,boxing,1952
409,perfect,1929
410,center,1925
411,loved,1920
412,ok,1919
413,amount,1915
414,paid,1915
415,given,1912
416,although,1911
417,challenge,1909
418,box,1908
419,completely,1907
420,lady,1902
421,side,1896
422,stop,1896
423,offered,1881
424,size,1864
425,weekend,1860
426,course,1856
427,guest,1826
428,rock,1821
429,truly,1820
430,outside,1818
431,routine,1816
432,quality,1814
433,lost,1809
434,decent,1802
435,injury,1799
436,wonderful,1780
437,late,1780
438,talk,1770
439,entire,1770
440,gone,1769
441,worst,1765
442,mind,1760
443,bench,1755
444,expect,1754
445,corporate,1753
446,city,1751
447,understand,1751
448,pilate,1748
449,rack,1745
450,attention,1743
451,joining,1737
452,policy,1729
453,order,1724
454,oh,1723
455,encouraging,1717
456,building,1712
457,changed,1701
458,totally,1692
459,cancelled,1690
460,zumba,1682
461,basketball,1679
462,waiting,1678
463,school,1677
464,smell,1676
465,notice,1670
466,believe,1667
467,thanks,1660
468,lack,1656
469,please,1656
470,seriously,1656
471,access,1655
472,camp,1654
473,play,1651
474,steam,1643
475,portland,1642
476,saying,1634
477,walked,1630
478,thank,1619
479,helped,1607
480,cleaning,1601
481,practice,1601
482,basic,1600
483,guess,1599
484,low,1599
485,continue,1593
486,peak,1588
487,squat,1580
488,short,1571
489,hotel,1569
490,read,1564
491,head,1562
492,mat,1559
493,street,1559
494,cheap,1554
495,amenity,1549
496,multiple,1543
497,matter,1541
498,rather,1539
499,motivating,1537
500,refund,1535
501,changing,1521
502,giving,1519
503,barre,1515
504,must,1512
505,food,1512
506,update,1511
507,wrong,1507
508,moving,1502
509,train,1500
510,lifting,1499
511,general,1499
512,walking,1493
513,cannot,1493
514,soon,1489
515,summer,1488
516,gold's,1485
517,50,1484
518,seemed,1482
519,bag,1477
520,longer,1476
521,hope,1471
522,enjoyed,1465
523,age,1459
524,signing,1456
525,route,1454
526,hold,1453
527,step,1446
528,learn,1445
529,saw,1441
530,online,1438
531,terrible,1437
532,fan,1437
533,closed,1436
534,system,1433
535,12,1432
536,warm,1430
537,swim,1430
538,drop,1428
539,together,1424
540,received,1423
541,within,1421
542,kickboxing,1413
543,become,1411
544,provide,1409
545,near,1409
546,opened,1391
547,special,1389
548,100,1389
549,trial,1388
550,literally,1388
551,watch,1382
552,knew,1381
553,spa,1379
554,park,1378
555,face,1375
556,world,1367
557,heard,1366
558,serious,1362
559,local,1361
560,evening,1361
561,heart,1360
562,paper,1359
563,ready,1358
564,office,1358
565,pro,1357
566,single,1355
567,disappointed,1354
568,honestly,1354
569,looked,1353
570,turn,1352
571,glad,1348
572,break,1347
573,station,1345
574,women's,1341
575,supportive,1339
576,style,1335
577,beginner,1335
578,note,1327
579,he's,1325
580,state,1322
581,twice,1322
582,stronger,1320
583,incredibly,1311
584,beautiful,1311
585,packed,1307
586,lift,1304
587,45,1304
588,including,1301
589,focus,1297
590,light,1296
591,technique,1289
592,along,1288
593,information,1287
594,sense,1286
595,hit,1286
596,unless,1283
597,maintained,1283
598,talking,1277
599,fast,1276
600,speak,1274
601,basically,1273
602,quickly,1270
603,throughout,1269
604,experienced,1268
605,swimming,1267
606,house,1265
607,poor,1265
608,foot,1261
609,hate,1261
610,car,1261
611,core,1261
612,healthy,1256
613,non,1256
614,9,1255
615,party,1255
616,ymca,1254
617,attitude,1254
618,kick,1253
619,track,1252
620,folk,1252
621,main,1248
622,skill,1247
623,spinning,1247
624,add,1243
625,across,1239
626,mostly,1239
627,rest,1238
628,pain,1237
629,situation,1235
630,downtown,1235
631,movement,1233
632,tour,1230
633,based,1228
634,meet,1224
635,vibe,1221
636,horrible,1218
637,difficult,1218
638,idea,1217
639,negative,1214
640,ball,1214
641,hair,1211
642,billing,1211
643,groupon,1207
644,con,1206
645,term,1205
646,shoe,1202
647,possible,1200
648,unfortunately,1199
649,noticed,1197
650,safe,1197
651,answer,1197
652,indoor,1189
653,power,1188
654,met,1188
655,welcome,1187
656,five,1186
657,constantly,1186
658,athlete,1181
659,impressed,1181
660,payment,1176
661,beyond,1172
662,saturday,1162
663,interested,1162
664,art,1160
665,buy,1159
666,spend,1156
667,inside,1156
668,climb,1155
669,intense,1153
670,individual,1152
671,excited,1146
672,leg,1141
673,value,1140
674,ended,1140
675,motivated,1137
676,mention,1137
677,avoid,1137
678,drive,1136
679,teach,1134
680,physical,1132
681,yelp,1132
682,son,1131
683,beat,1130
684,four,1128
685,burn,1127
686,simply,1127
687,butt,1126
688,total,1125
689,clearly,1125
690,support,1122
691,young,1122
692,self,1121
693,lock,1119
694,process,1111
695,important,1107
696,min,1104
697,brand,1101
698,dollar,1100
699,appreciate,1097
700,25,1096
701,boot,1092
702,man,1083
703,atlanta,1081
704,quick,1077
705,whatever,1076
706,hear,1073
707,behind,1072
708,stretching,1072
709,located,1070
710,starting,1069
711,circuit,1068
712,air,1068
713,post,1068
714,showed,1067
715,willing,1067
716,men,1064
717,response,1064
718,wow,1061
719,okay,1058
720,husband,1057
721,40,1057
722,immediately,1055
723,private,1053
724,dance,1053
725,true,1052
726,website,1049
727,activity,1048
728,loud,1048
729,strong,1048
730,limited,1046
731,instruction,1044
732,reasonable,1043
733,pound,1042
734,date,1038
735,leaving,1037
736,case,1037
737,as,1035
738,miss,1034
739,attend,1034
740,liked,1032
741,otf,1032
742,compared,1028
743,regularly,1027
744,they've,1026
745,word,1025
746,contact,1024
747,bed,1023
748,tub,1022
749,daughter,1020
750,rule,1019
751,thinking,1019
752,b,1018
753,cold,1017
754,rope,1011
755,cycling,1010
756,seeing,1008
757,tough,1007
758,addition,1006
759,fix,1004
760,complete,1003
761,crowd,1002
762,anytime,1001
763,section,999
764,selection,998
765,generally,998
766,spacious,994
767,remember,991
768,return,990
769,wipe,990
770,lose,990
771,sort,989
772,crazy,985
773,60,983
774,asking,981
775,helping,980
776,spoke,978
777,black,977
778,pf,977
779,follow,974
780,elliptical,974
781,sent,973
782,happened,971
783,sore,970
784,lesson,967
785,whether,964
786,e,957
787,ab,957
788,mentioned,955
789,tanning,952
790,choice,952
791,apparently,949
792,standard,946
793,clear,946
794,exactly,945
795,sit,945
796,key,944
797,event,943
798,package,940
799,eye,940
