"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","status","newaddress","dogs","parking","wifi"
"1","PE9uqAjdw0E4-8mjGl3wVA","CrossFit","1046 Memorial Dr SE","Atlanta","GA","30316",33.747,-84.3534,4,14,1,"Gyms, Active Life, Interval Training Gyms, Fitness & Instruction","blue","GA, Atlanta, 1046 Memorial Dr SE",NA,"False",NA
"2","TNV7UD5SU-MInc9NYiA7Vw","Body In Motion","180 Linden St","Wellesley","MA","02482",42.3011,-71.2923,4.5,8,0,"Barre Classes, Fitness & Instruction, Gyms, Pilates, Active Life","black","MA, Wellesley, 180 Linden St",NA,"False",NA
"3","hw7B3GVDKad9vlx5bUu6XA","Liv Fitness","1853 Memorial Dr SE","Atlanta","GA","30317",33.7474,-84.3276,5,28,1,"Active Life, Gyms, Fitness & Instruction, Boot Camps, Yoga, Trainers","blue","GA, Atlanta, 1853 Memorial Dr SE",NA,"True",NA
"4","92U5Fpu4dFh4wZvAJHM6lw","Nautilus","16400 SE Nautilus Dr","Vancouver","WA","98683",45.6177,-122.4896,2,15,1,"Active Life, Gyms, Fitness & Instruction, Trainers, Fitness/Exercise Equipment, Shopping","blue","WA, Vancouver, 16400 SE Nautilus Dr",NA,"False",NA
"5","SksM8tYBTwDcl0FQ6-Lz3w","Lifted Fitness & Performance","72 K St","South Boston","MA","02127",42.3391,-71.0373,5,28,1,"Active Life, Fitness & Instruction, Trainers, Gyms, Boot Camps","blue","MA, South Boston, 72 K St",NA,"True",NA
"6","UXujX1O45f4cNgqnGJaZHw","Anytime Fitness","4920 Roswell Rd NE","Atlanta","GA","30342",33.8886,-84.3824,3.5,7,1,"Active Life, Fitness & Instruction, Trainers, Gyms","blue","GA, Atlanta, 4920 Roswell Rd NE",NA,"False",NA
"7","mo_hPUT3G1WsUFyFCf1aaw","Planet Fitness","211 Lincoln St","Hingham","MA","02043",42.2498,-70.9064,3,20,1,"Fitness & Instruction, Trainers, Tanning, Beauty & Spas, Active Life, Gyms","blue","MA, Hingham, 211 Lincoln St",NA,"True",NA
"8","duQh6ZklvOOIOiRM_-FvmQ","CrossFit","69 Howard St","Watertown","MA","02472",42.3686,-71.196,5,54,1,"Active Life, Fitness & Instruction, Gyms, Trainers, Health & Medical, Nutritionists, Weight Loss Centers, Interval Training Gyms","blue","MA, Watertown, 69 Howard St",NA,"True","u'free'"
"9","NzgRBQc-kG-xChPmq5SiUQ","CrossFit","409 Boyne Street","New Westminster","BC","V3M 5K3",49.1933,-122.9415,5,5,1,"Gyms, Active Life, Fitness & Instruction","blue","BC, New Westminster, 409 Boyne Street",NA,"True",NA
"10","MaSJyD1Pi4l0Phn2BDbtnw","X-Train: A Fitness Community","9603 Saunders Ln","Austin","TX","78758",30.3482,-97.7152,4.5,13,0,"Active Life, Fitness & Instruction, Trainers, Local Flavor, Specialty Food, Health & Medical, Physical Therapy, Yoga, Gyms, Health Markets, Food","black","TX, Austin, 9603 Saunders Ln",NA,"False",NA
"11","nO1zbkU1Tz_Xtt7np7CU_g","Rosen JCC Orlando","11184 S Apopka Vineland Rd","Orlando","FL","32836",28.4033,-81.5045,4.5,13,1,"Local Services, Summer Camps, Community Centers, Education, Gyms, Child Care & Day Care, Public Services & Government, Active Life, Preschools, Fitness & Instruction","blue","FL, Orlando, 11184 S Apopka Vineland Rd",NA,"False",NA
"12","A04ceKFcqKQxvExMMiS7yg","Train Boston","34 Washington St","Wellesley Hills","MA","02481",42.3248,-71.2608,5,8,1,"Fitness & Instruction, Trainers, Health & Medical, Weight Loss Centers, Gyms, Physical Therapy, Massage Therapy, Active Life","blue","MA, Wellesley Hills, 34 Washington St",NA,"False",NA
"13","Qqn_aaDYBKTLHzaJvEjpYA","Peachtree Center Athletic Club and Spa","227 Courtland St NE","Atlanta","GA","30303",33.7608,-84.3839,4,7,0,"Beauty & Spas, Gyms, Trainers, Active Life, Fitness & Instruction, Day Spas","black","GA, Atlanta, 227 Courtland St NE",NA,"True",NA
"14","lCgy_TBNNTJDnd-naYMHgQ","Orangetheory Fitness","4279 Roswell Rd, Ste 501","Atlanta","GA","30342",33.8706,-84.3792,3.5,25,1,"Interval Training Gyms, Trainers, Boot Camps, Gyms, Fitness & Instruction, Active Life","blue","GA, Atlanta, 4279 Roswell Rd, Ste 501",NA,"False",NA
"15","dYNiddMt1sVqeB45uSPtIw","Fulcrum Fitness","1932 W Burnside St","Portland","OR","97209",45.5227,-122.6906,5,10,0,"Trainers, Active Life, Gyms, Fitness & Instruction, Boot Camps","black","OR, Portland, 1932 W Burnside St",NA,"True",NA
"16","LtATCMWCuBxfj7dkQSAw7w","Good Nutrition","2855 N Druid Hls NE","Atlanta","GA","30329",33.8169,-84.3126,3.5,24,1,"Health Markets, Shopping, Gyms, Active Life, Vitamins & Supplements, Fitness & Instruction, Specialty Food, Food","blue","GA, Atlanta, 2855 N Druid Hls NE","False","True",NA
"17","wiqL7nPf_YcBDTIRERn-3g","The Pilates Doctor Studio","1445 Pearl St, Ste 100","Boulder","CO","80302",40.0189,-105.2764,3.5,5,0,"Pilates, Trainers, Fitness & Instruction, Gyms, Active Life","black","CO, Boulder, 1445 Pearl St, Ste 100",NA,"False",NA
"18","A_c6Mo5jHlvq-OBORQgR4A","Snap Fitness","165 McCaslin Blvd, Unit B","Louisville","CO","80027",39.9699,-105.1655,2.5,6,0,"Active Life, Fitness & Instruction, Gyms","black","CO, Louisville, 165 McCaslin Blvd, Unit B",NA,"False",NA
"19","RQMinkYijOmmkxzDrel_Cg","Townlake Branch YMCA","1100 W Cesar Chavez St","Austin","TX","78703",30.269,-97.757,3.5,82,1,"Child Care & Day Care, Trainers, Swimming Pools, Active Life, Fitness & Instruction, Gyms, Local Services","blue","TX, Austin, 1100 W Cesar Chavez St",NA,"True",NA
"20","AOR9frQfC3Zsn2v3a5Kolg","Bangkok Boxing Fitness- Midtown","1019 Collier Rd NW, Ste C","Atlanta","GA","30318",33.8119,-84.4206,4,49,1,"Trainers, Martial Arts, Fitness & Instruction, Gyms, Active Life","blue","GA, Atlanta, 1019 Collier Rd NW, Ste C",NA,"False",NA
"21","SQTA0soihe-ThVwN6TRUaQ","LA Fitness","4140 SE 82nd Ave","Portland","OR","97266",45.4925,-122.5759,2.5,116,1,"Gyms, Trainers, Active Life, Yoga, Fitness & Instruction, Sports Clubs","blue","OR, Portland, 4140 SE 82nd Ave","False","True",NA
"22","Q54akLlJf1yHTVqzCCSX6A","LA Fitness","121 Main St","Stoneham","MA","02180",42.4939,-71.1028,2,90,1,"Yoga, Fitness & Instruction, Active Life, Trainers, Gyms, Sports Clubs","blue","MA, Stoneham, 121 Main St",NA,"True",NA
"23","AeFFxNxPTDyWeh2GkSrCHQ","March Wellness & Fitness Center","3303 SW Bond Ave","Portland","OR","97239",45.4989,-122.6713,3.5,31,1,"Fitness & Instruction, Gyms, Yoga, Acupuncture, Nutritionists, Active Life, Health & Medical, Trainers","blue","OR, Portland, 3303 SW Bond Ave",NA,"True",NA
"24","nfZkqR-Xy53-L3WNdsGObg","Boston Firearms Training Center","151 Bow St, Unit 2","Everett","MA","02149",42.3986,-71.061,4.5,54,1,"Special Education, Gun/Rifle Ranges, Martial Arts, Education, Fitness & Instruction, Active Life, Gyms, Firearm Training, Specialty Schools","blue","MA, Everett, 151 Bow St, Unit 2",NA,"True",NA
"25","ibK3cCdfbNuqlJ6wXV46BQ","Wall Crawler Rock Club","1522 Dekalb Ave NE","Atlanta","GA","30307",33.7626,-84.3381,4.5,29,1,"Fitness & Instruction, Climbing, Gyms, Active Life, Amusement Parks","blue","GA, Atlanta, 1522 Dekalb Ave NE",NA,"False",NA
"26","7DdYkf-gRFzcEDe3tr9vMA","Brazilian Fight Factory","11150 Research Blvd, Ste 102","Austin","TX","78759",30.4066,-97.747,4.5,13,1,"Fitness & Instruction, Active Life, Martial Arts, Gyms","blue","TX, Austin, 11150 Research Blvd, Ste 102",NA,"False",NA
"27","tFMSVejx5zP4AtGcCSZy4w","Back Bay Boxing","350 Newbury St","Boston","MA","02115",42.3481,-71.0872,5,24,1,"Boot Camps, Gyms, Active Life, Cardio Classes, Trainers, Boxing, Fitness & Instruction","blue","MA, Boston, 350 Newbury St","False","True",NA
"28","uGQJ02l0Ejorh7XHYSZehQ","Shakti Health, Fitness & Wellness - Newton","386 Langley Rd","Newton","MA","02459",42.3209,-71.1836,3.5,11,1,"Nutritionists, Trainers, Weight Loss Centers, Active Life, Health & Medical, Gyms, Fitness & Instruction","blue","MA, Newton, 386 Langley Rd",NA,"False",NA
"29","EdUdRW8Ynh3wmCzRCqYglA","Gravity Fitness","2201 Faulkner Rd","Atlanta","GA","30324",33.8128,-84.3582,4,20,1,"Active Life, Interval Training Gyms, Fitness & Instruction, Beauty & Spas, Trainers, Tanning, Gyms, Tanning Beds","blue","GA, Atlanta, 2201 Faulkner Rd","False","True","u'free'"
"30","srpZTiH4leOB87oezTKfeQ","Beyond Fit","501 W Powell Ln, Ste 408","Austin","TX","78753",30.3484,-97.7064,5,12,0,"Fitness & Instruction, Gyms, Health & Medical, Trainers, Active Life","black","TX, Austin, 501 W Powell Ln, Ste 408",NA,"False",NA
"31","KVsUgcT-WrQopDs6h2D2pQ","30 Minute Hit","1801 Rosser Avenue","Burnaby","BC","V5C 6R4",49.268,-123.006,3.5,7,1,"Active Life, Fitness & Instruction, Boxing, Trainers, Martial Arts, Gyms","blue","BC, Burnaby, 1801 Rosser Avenue",NA,"False",NA
