"","business_id","Pros","Cons"
"1","PE9uqAjdw0E4-8mjGl3wVA","You have good classes to take.
You have perfect trainers and coaches.
The equipments are in good condition.
You have good facilities.
Your prices are very good.
","You should provide parking space to get a better rating.
"
"2","TNV7UD5SU-MInc9NYiA7Vw","You have good classes to take.
You have perfect trainers and coaches.
The equipments are in good condition.
Your prices are very good.
","Great job! Keep the momentum."
"3","hw7B3GVDKad9vlx5bUu6XA","You have perfect trainers and coaches.
Your managers and service are good.
The equipments are in good condition.
You have good facilities.
Your prices are very good.
It's good to provide parking space for customers!
","Your classes may need to be updated.
The shower condition should be considered.
"
"4","92U5Fpu4dFh4wZvAJHM6lw","Your managers and service are good.
","Your may need to hire some good coaches.
You may need to update your equipments.
You may need to update your lockerroom or other facilities.
You should consider adjusting your price.
You should provide parking space to get a better rating.
"
"5","SksM8tYBTwDcl0FQ6-Lz3w","You have good classes to take.
You have perfect trainers and coaches.
The equipments are in good condition.
You have good facilities.
Your prices are very good.
","Great job! Keep the momentum."
"6","UXujX1O45f4cNgqnGJaZHw","Your managers and service are good.
The equipments are in good condition.
Customers feels good about the shower here.
Your prices are very good.
","Your may need to hire some good coaches.
"
"7","mo_hPUT3G1WsUFyFCf1aaw","You have perfect trainers and coaches.
Your managers and service are good.
The equipments are in good condition.
You have good facilities.
Your prices are very good.
","Your classes may need to be updated.
The shower condition should be considered.
"
"8","duQh6ZklvOOIOiRM_-FvmQ","You have good classes to take.
You have perfect trainers and coaches.
Your managers and service are good.
The equipments are in good condition.
Customers feels good about the shower here.
You have good facilities.
Your prices are very good.
Keep providing free Wi-Fi!","Great job! Keep the momentum."
"9","NzgRBQc-kG-xChPmq5SiUQ","You have perfect trainers and coaches.
","Your classes may need to be updated.
You may need to update your lockerroom or other facilities.
You should consider adjusting your price.
"
"10","MaSJyD1Pi4l0Phn2BDbtnw","You have good classes to take.
You have perfect trainers and coaches.
The equipments are in good condition.
","You need to improve the quality of service.
You may need to update your lockerroom or other facilities.
You should consider adjusting your price.
"
"11","nO1zbkU1Tz_Xtt7np7CU_g","You have good classes to take.
You have perfect trainers and coaches.
The equipments are in good condition.
Your price are on average.
","You should provide parking space to get a better rating.
"
"12","A04ceKFcqKQxvExMMiS7yg","You have perfect trainers and coaches.
Your managers and service are good.
The equipments are in good condition.
Your price are on average.
","Great job! Keep the momentum."
"13","Qqn_aaDYBKTLHzaJvEjpYA","You have perfect trainers and coaches.
The equipments are in good condition.
You have good facilities.
Your prices are very good.
It's good to provide parking space for customers!
","Your classes may need to be updated.
The shower condition should be considered.
"
"14","lCgy_TBNNTJDnd-naYMHgQ","You have good classes to take.
You have perfect trainers and coaches.
Your managers and service are good.
Your facilities are on average.
Your price are on average.
","You may need to update your equipments.
The shower condition should be considered.
You should provide parking space to get a better rating.
"
"15","dYNiddMt1sVqeB45uSPtIw","You have good classes to take.
You have perfect trainers and coaches.
Customers feels good about the shower here.
You have good facilities.
Your prices are very good.
It's good to provide parking space for customers!
","You need to improve the quality of service.
You may need to update your equipments.
"
