"","X","business_id","star_gym","class","equipment","service","facility","price","popularity"
"1",1,"_-Q8k3b4Qmgdk5UwQ1GpsQ",3,0,-0.1,0,0,0,1.5
"2",2,"_0Hs9eMmT4jRTcEyhPssqw",5,0,0,0,0,0,3
"3",3,"_53iv9d7qPwm5m3hDHDIDg",4.5,0,0,NA,0,0,2
"4",4,"_9C_0lstmT7GuyqNhrw-iA",4,0,0,0,0,0,3.5
"5",5,"_bblHIPIuQ5MFzS5kWOLwg",3,-0.1,0,0.3,-0.1,-0.1,2
"6",6,"_c7trivqZfjPYr9nUuuD5w",4.5,-0.2,-0.2,NA,-0.1,0.1,1.5
"7",7,"_fKq4p56CsRHwgcsCo9z7g",4,-0.1,0,0,-0.1,0.1,2.5
"8",8,"_GnDmClTvzprNVvlaa4fDQ",3.5,0,0,0,0,-0.1,3.5
"9",9,"_GnwqBw7mgs3vanIXIc6-g",4.5,0.1,NA,0,0,0.1,3
"10",10,"_I-WI0BtwXndqeO7LoZJ3A",3,-0.1,0,-0.1,0,-0.1,4
"11",11,"_IHr-i-ujB5iiNfeye5eRA",4.5,0.1,0.2,0,0.1,0.1,2.5
"12",12,"_J6V29dpZ0KI8wMOeZDrow",3.5,-0.1,-0.1,NA,NA,-0.1,1.5
"13",13,"_jePvBpH2WQ9Yg52qGp47Q",3,0,0,0,-0.1,0,3
"14",14,"_JG0BGkCxoYT8vOZa1rweQ",5,0,0.1,NA,0,0.1,1.5
"15",15,"_ji4f8Klw8HHG4XepFceWg",5,0,-0.1,-0.1,0,0,2
"16",16,"_jZk6iv11keuvRexSNE7_Q",5,0,0,0,0,-0.1,3.5
"17",17,"_KOYJ2YCRnZmpEeG-VmqpA",4.5,0,NA,0.1,0.1,0.1,2
"18",18,"_PbXpHq4PlS-gWrJwPu2wQ",3,0,-0.1,0,0.1,0,3
"19",19,"_QgAJoJArhjYT3FcQF41gw",3.5,-0.1,0.1,NA,-0.1,0,1.5
"20",20,"_qRVNSE6RwOXE58WlNNwaQ",3,0,0,0,-0.1,0,4.5
"21",21,"_s7lvYCRCFqR8Xx0SgtAQg",3,0,-0.1,0,0,0,3.5
"22",22,"_tGIkKYXoIYjZ5Tc2RSEdA",4,0,0,0,0,0,4
"23",23,"_uHbDHpSLbIktFr5SAla8g",4,0,0,0,-0.1,0,2.5
"24",24,"_uY3neipHBUuPrYIqZ4o6Q",2.5,-0.1,-0.1,0,0,-0.1,1.5
"25",25,"_V7OmnQtYnxQ7_xbucJtiA",5,0,0,NA,0,0.1,3
"26",26,"_VZUemq91HGNIMk6Fm3lAw",4.5,0.1,0.1,0,0,0,1.5
"27",27,"_xWvI8A-IZjbiLrFFm89xQ",3.5,0,0,0,0,0,4
"28",28,"_zUX0GVQRG29XfoKHiAbcQ",4.5,0,0,0,0,0,4
"29",29,"-2DAKRNW7SwJG4aKomR03g",4,0.1,0,0.1,0,0,3
"30",30,"-6UZ21MVg4u-RwOYGYCv7g",3.5,0.1,-0.1,0,0.1,0.1,1.5
"31",31,"-bnOk6lLomy7vBQOPMbBfw",5,0,-0.1,0,0,0,3
"32",32,"-EOVoUXzyFUncTA2Y18HgQ",5,0.1,NA,NA,NA,0.1,1.5
"33",33,"-Et0WED21LcwLLsUEzekow",5,0.1,NA,NA,0,0.2,2
"34",34,"-eVUxQ6IlMseNSDK0oifFw",1.5,-0.2,0,0,-0.1,0,2.5
"35",35,"-gUcrHCUeM5XYhrTJ9xf9g",5,0.2,NA,NA,NA,NA,1.5
"36",36,"-ICS3gv1uwvElVUlceUMuA",5,0,NA,0.8,0.6,0.2,2
"37",37,"-k2JJyF9vW3shufrownLHw",4.5,-0.1,0,0.1,0,0,2.5
"38",38,"-kkHh0QwK1ZYHQF17Mpw2w",4.5,0,0,0.1,0.1,0,3.5
"39",39,"-KusnOgxLIbRSntYO06Taw",3.5,0,0,0,0,0,4
"40",40,"-L8_YN2WY960TDDrSoAG8g",2.5,0,0,0,0,0,3.5
"41",41,"-LAVT06ILYN-UCZnRHTN3A",3,-0.2,0,0,0,0.1,2
"42",42,"-MbIfIeDFIJyXAToYJ7n8g",3.5,-0.1,0,0,0,0,3
"43",43,"-mYmJ4mGqYFYZwFLAllSxw",5,0.1,0.1,NA,0.1,0,2.5
"44",44,"-oubHK5JNS5gwxWpD0VKVg",3.5,-0.1,0,-0.1,0,0,1.5
"45",45,"-PrUwVvc5vyeIX2t89d9cA",3.5,NA,0,0,-0.1,-0.1,2
"46",46,"-qOLw18S4VS3d-2JmEtghA",4,0.1,0,NA,0,0,2
"47",47,"-qrrhjx4TwKqn25ACLES1Q",5,0.2,NA,NA,0,0.1,1.5
"48",48,"-Rmd5Y48X0uREQrtxte2Cg",3.5,-0.1,0,-0.1,0,0,2.5
"49",49,"-rpK-Y6sqmDuTEUQfXGB_Q",5,0.3,0,NA,0,NA,1.5
"50",50,"-s-v7HRmmOiNZJ2bDehicQ",4.5,0,0,0,0,0,3.5
